Ticket ID,Customer ID,Subject,Description,Priority,Current Status,Assignee,Creation Time,Last Update Time,Resolution Time,History/Comments,Attachments,Tags,Related Tickets,SLA Response Time,SLA Resolution Time,Escalation Information,Closed Reason,Feedback/Rating,Call Summary,Call Sentiment
1049,149,Snowboard Binding Issue,Snowboard bindings are loose.,Low,Open,Support C,2023-10-25 11:20:00,2023-10-25 11:20:00,,Customer reported snowboard binding issue.,,Technical Issue,,2 hours,24 hours,,,,,
1050,150,Ski Goggle Fogging Issue,Ski goggles fogging up easily.,Low,Closed,Support A,2023-10-26 14:05:00,2023-10-26 14:05:00,2023-10-26 14:05:00,Ski goggles no longer fogging up due to product update.,,Technical Issue,,4 hours,72 hours,,Issue Resolved,5/5,,
1051,151,Ski Binding Issue,Ski binding release problem.,High,In Progress,Support C,2023-10-26 16:45:00,2023-10-26 16:45:00,,Investigating ski binding issue.,,Technical Issue,,1 hour,24 hours,,,,,
1052,152,Snowboard Edge Damage,Snowboard edges are chipping.,High,Open,Support B,2023-10-27 9:55:00,2023-10-27 9:55:00,,Customer reported snowboard edge issue.,,Gear Quality,,2 hours,48 hours,,,,,
1053,153,Goggle Lens Scratch,Goggle lenses scratching easily.,Medium,Resolved,Support A,2023-10-27 11:15:00,2023-10-27 11:45:00,2023-10-27 11:45:00,Goggle issue resolved; customer provided positive feedback.,,Technical Issue,,1 hour,24 hours,,Issue Resolved,4/5,,
1054,154,Ski Pole Defect,Ski pole is bent and unusable.,High,Closed,Support C,2023-10-28 13:35:00,2023-10-28 14:30:00,2023-10-28 14:30:00,Ski pole replaced due to manufacturing defect.,,Technical Issue,,2 hours,24 hours,,Issue Resolved,3/5,,
1055,155,Snowboard Delamination,Snowboard layers delaminating.,Medium,In Progress,Support B,2023-10-28 15:55:00,2023-10-28 15:55:00,,Investigating snowboard delamination issue.,,Gear Quality,,1 hour,48 hours,,,,,
1056,156,Snow Ski Quality Problem,Ski surface is rough and damaged.,High,Open,Support C,2023-10-29 9:45:00,2023-10-29 9:45:00,,Customer complaining about ski quality.,,Gear Quality,,4 hours,72 hours,,,,,
1057,157,Snowboard Binding Issue,Snowboard bindings are loose.,Low,Open,Support A,2023-10-29 11:20:00,2023-10-29 11:20:00,,Customer reported snowboard binding issue.,,Technical Issue,,2 hours,24 hours,,,,,
1058,158,Ski Goggle Fogging Issue,Ski goggles fogging up easily.,Low,Closed,Support B,2023-10-30 14:05:00,2023-10-30 14:05:00,2023-10-30 14:05:00,Ski goggles no longer fogging up due to product update.,,Technical Issue,,4 hours,72 hours,,Issue Resolved,5/5,,
1059,159,Ski Binding Issue,Ski binding release problem.,High,In Progress,Support C,2023-10-30 16:45:00,2023-10-30 16:45:00,,Investigating ski binding issue.,,Technical Issue,,1 hour,24 hours,,,,,
1060,160,Snowboard Edge Damage,Snowboard edges are chipping.,High,Open,Support A,2023-10-31 9:55:00,2023-10-31 9:55:00,,Customer reported snowboard edge issue.,,Gear Quality,,2 hours,48 hours,,,,,
1061,161,Goggle Lens Scratch,Goggle lenses scratching easily.,Medium,Resolved,Support B,2023-10-31 11:15:00,2023-10-31 11:45:00,2023-10-31 11:45:00,Goggle issue resolved; customer provided positive feedback.,,Technical Issue,,1 hour,24 hours,,Issue Resolved,4/5,,
1062,162,Ski Pole Defect,Ski pole is bent and unusable.,High,Closed,Support C,2023-11-01 13:35:00,2023-11-01 14:30:00,2023-11-01 14:30:00,Ski pole replaced due to manufacturing defect.,,Technical Issue,,2 hours,24 hours,,Issue Resolved,3/5,,
1063,163,Snowboard Delamination,Snowboard layers delaminating.,Medium,In Progress,Support A,2023-11-01 15:55:00,2023-11-01 15:55:00,,Investigating snowboard delamination issue.,,Gear Quality,,1 hour,48 hours,,,,,
1064,164,Snow Ski Quality Problem,Ski surface is rough and damaged.,High,Open,Support B,2023-11-02 9:45:00,2023-11-02 9:45:00,,Customer complaining about ski quality.,,Gear Quality,,4 hours,72 hours,,,,,
1065,165,Snowboard Binding Issue,Snowboard bindings are loose.,Low,Open,Support C,2023-11-02 11:20:00,2023-11-02 11:20:00,,Customer reported snowboard binding issue.,,Technical Issue,,2 hours,24 hours,,,,,
1066,166,Ski Goggle Fogging Issue,Ski goggles fogging up easily.,Low,Closed,Support A,2023-11-03 14:05:00,2023-11-03 14:05:00,2023-11-03 14:05:00,Ski goggles no longer fogging up due to product update.,,Technical Issue,,4 hours,72 hours,,Issue Resolved,5/5,,
1067,167,Ski Binding Issue,Ski binding release problem.,High,In Progress,Support C,2023-11-03 16:45:00,2023-11-03 16:45:00,,Investigating ski binding issue.,,Technical Issue,,1 hour,24 hours,,,,,
1068,168,Snowboard Edge Damage,Snowboard edges are chipping.,High,Open,Support B,2023-11-04 9:55:00,2023-11-04 9:55:00,,Customer reported snowboard edge issue.,,Gear Quality,,2 hours,48 hours,,,,,
1069,169,Goggle Lens Scratch,Goggle lenses scratching easily.,Medium,Resolved,Support B,2023-11-04 11:15:00,2023-11-04 11:45:00,2023-11-04 11:45:00,Goggle issue resolved; customer provided positive feedback.,,Technical Issue,,1 hour,24 hours,,Issue Resolved,4/5,,
1070,170,Ski Pole Defect,Ski pole is bent and unusable.,High,Closed,Support C,2023-11-05 13:35:00,2023-11-05 14:30:00,2023-11-05 14:30:00,Ski pole replaced due to manufacturing defect.,,Technical Issue,,2 hours,24 hours,,Issue Resolved,3/5,,
1071,171,Snowboard Delamination,Snowboard layers delaminating.,Medium,In Progress,Support A,2023-11-05 15:55:00,2023-11-05 15:55:00,,Investigating snowboard delamination issue.,,Gear Quality,,1 hour,48 hours,,,,,
1072,172,Snow Ski Quality Problem,Ski surface is rough and damaged.,High,Open,Support B,2023-11-06 9:45:00,2023-11-06 9:45:00,,Customer complaining about ski quality.,,Gear Quality,,4 hours,72 hours,,,,,
1073,173,Snowboard Binding Issue,Snowboard bindings are loose.,Low,Open,Support C,2023-11-06 11:20:00,2023-11-06 11:20:00,,Customer reported snowboard binding issue.,,Technical Issue,,2 hours,24 hours,,,,,
1074,174,Ski Goggle Fogging Issue,Ski goggles fogging up easily.,Low,Closed,Support A,2023-11-07 14:05:00,2023-11-07 14:05:00,2023-11-07 14:05:00,Ski goggles no longer fogging up due to product update.,,Technical Issue,,4 hours,72 hours,,Issue Resolved,5/5,,
1075,175,Ski Binding Issue,Ski binding release problem.,High,In Progress,Support C,2023-11-07 16:45:00,2023-11-07 16:45:00,,Investigating ski binding issue.,,Technical Issue,,1 hour,24 hours,,,,,
1076,176,Snowboard Edge Damage,Snowboard edges are chipping.,High,Open,Support B,2023-11-08 9:55:00,2023-11-08 9:55:00,,Customer reported snowboard edge issue.,,Gear Quality,,2 hours,48 hours,,,,,
1077,177,Goggle Lens Scratch,Goggle lenses scratching easily.,Medium,Resolved,Support B,2023-11-08 11:15:00,2023-11-08 11:45:00,2023-11-08 11:45:00,Goggle issue resolved; customer provided positive feedback.,,Technical Issue,,1 hour,24 hours,,Issue Resolved,4/5,,
1078,178,Ski Pole Defect,Ski pole is bent and unusable.,High,Closed,Support C,2023-11-09 13:35:00,2023-11-09 14:30:00,2023-11-09 14:30:00,Ski pole replaced due to manufacturing defect.,,Technical Issue,,2 hours,24 hours,,Issue Resolved,3/5,,
1079,179,Snowboard Delamination,Snowboard layers delaminating.,Medium,In Progress,Support A,2023-11-09 15:55:00,2023-11-09 15:55:00,,Investigating snowboard delamination issue.,,Gear Quality,,1 hour,48 hours,,,,,
1080,180,Snow Ski Quality Problem,Ski surface is rough and damaged.,High,Open,Support B,2023-11-10 9:45:00,2023-11-10 9:45:00,,Customer complaining about ski quality.,,Gear Quality,,4 hours,72 hours,,,,,
1081,181,Snowboard Binding Issue,Snowboard bindings are loose.,Low,Open,Support C,2023-11-10 11:20:00,2023-11-10 11:20:00,,Customer reported snowboard binding issue.,,Technical Issue,,2 hours,24 hours,,,,,
1082,182,Ski Goggle Fogging Issue,Ski goggles fogging up easily.,Low,Closed,Support A,2023-11-11 14:05:00,2023-11-11 14:05:00,2023-11-11 14:05:00,Ski goggles no longer fogging up due to product update.,,Technical Issue,,4 hours,72 hours,,Issue Resolved,5/5,,
1083,183,Ski Binding Issue,Ski binding release problem.,High,In Progress,Support C,2023-11-11 16:45:00,2023-11-11 16:45:00,,Investigating ski binding issue.,,Technical Issue,,1 hour,24 hours,,,,,
1084,184,Snowboard Edge Damage,Snowboard edges are chipping.,High,Open,Support B,2023-11-12 9:55:00,2023-11-12 9:55:00,,Customer reported snowboard edge issue.,,Gear Quality,,2 hours,48 hours,,,,,
1085,185,Goggle Lens Scratch,Goggle lenses scratching easily.,Medium,Resolved,Support B,2023-11-12 11:15:00,2023-11-12 11:45:00,2023-11-12 11:45:00,Goggle issue resolved; customer provided positive feedback.,,Technical Issue,,1 hour,24 hours,,Issue Resolved,4/5,,
1086,186,Ski Pole Defect,Ski pole is bent and unusable.,High,Closed,Support C,2023-11-13 13:35:00,2023-11-13 14:30:00,2023-11-13 14:30:00,Ski pole replaced due to manufacturing defect.,,Technical Issue,,2 hours,24 hours,,Issue Resolved,3/5,,
1087,187,Snowboard Delamination,Snowboard layers delaminating.,Medium,In Progress,Support A,2023-11-13 15:55:00,2023-11-13 15:55:00,,Investigating snowboard delamination issue.,,Gear Quality,,1 hour,48 hours,,,,,
1088,188,Snow Ski Quality Problem,Ski surface is rough and damaged.,High,Open,Support B,2023-11-14 9:45:00,2023-11-14 9:45:00,,Customer complaining about ski quality.,,Gear Quality,,4 hours,72 hours,,,,,
1089,189,Snowboard Binding Issue,Snowboard bindings are loose.,Low,Open,Support C,2023-11-14 11:20:00,2023-11-14 11:20:00,,Customer reported snowboard binding issue.,,Technical Issue,,2 hours,24 hours,,,,,
1090,190,Ski Goggle Fogging Issue,Ski goggles fogging up easily.,Low,Closed,Support A,2023-11-15 14:05:00,2023-11-15 14:05:00,2023-11-15 14:05:00,Ski goggles no longer fogging up due to product update.,,Technical Issue,,4 hours,72 hours,,Issue Resolved,5/5,,
1091,191,Ski Binding Issue,Ski binding release problem.,High,In Progress,Support C,2023-11-15 16:45:00,2023-11-15 16:45:00,,Investigating ski binding issue.,,Technical Issue,,1 hour,24 hours,,,,,
1092,192,Snowboard Edge Damage,Snowboard edges are chipping.,High,Open,Support B,2023-11-16 9:55:00,2023-11-16 9:55:00,,Customer reported snowboard edge issue.,,Gear Quality,,2 hours,48 hours,,,,,
1093,193,Goggle Lens Scratch,Goggle lenses scratching easily.,Medium,Resolved,Support B,2023-11-16 11:15:00,2023-11-16 11:45:00,2023-11-16 11:45:00,Goggle issue resolved; customer provided positive feedback.,,Technical Issue,,1 hour,24 hours,,Issue Resolved,4/5,,
1094,194,Ski Pole Defect,Ski pole is bent and unusable.,High,Closed,Support C,2023-11-17 13:35:00,2023-11-17 14:30:00,2023-11-17 14:30:00,Ski pole replaced due to manufacturing defect.,,Technical Issue,,2 hours,24 hours,,Issue Resolved,3/5,,
1095,195,Snowboard Delamination,Snowboard layers delaminating.,Medium,In Progress,Support A,2023-11-17 15:55:00,2023-11-17 15:55:00,,Investigating snowboard delamination issue.,,Gear Quality,,1 hour,48 hours,,,,,
1096,196,Snow Ski Quality Problem,Ski surface is rough and damaged.,High,Open,Support B,2023-11-18 9:45:00,2023-11-18 9:45:00,,Customer complaining about ski quality.,,Gear Quality,,4 hours,72 hours,,,,,
1097,197,Snowboard Binding Issue,Snowboard bindings are loose.,Low,Open,Support C,2023-11-18 11:20:00,2023-11-18 11:20:00,,Customer reported snowboard binding issue.,,Technical Issue,,2 hours,24 hours,,,,,
1098,198,Ski Goggle Fogging Issue,Ski goggles fogging up easily.,Low,Closed,Support A,2023-11-19 14:05:00,2023-11-19 14:05:00,2023-11-19 14:05:00,Ski goggles no longer fogging up due to product update.,,Technical Issue,,4 hours,72 hours,,Issue Resolved,5/5,,
1099,199,Ski Binding Issue,Ski binding release problem.,High,In Progress,Support C,2023-11-19 16:45:00,2023-11-19 16:45:00,,Investigating ski binding issue.,,Technical Issue,,1 hour,24 hours,,,,,
